held_out,beta_input_ns,beta_output_ns,train_mean_rbo,rbo_raw,rbo_filter_only,rbo_corrected,gain_corr_over_filter,gain_corr_over_raw
aes,0.35000000000000087,-0.2999999999999997,0.635239932574224,0.7744217937533022,0.7744217937533022,0.7744106660527934,-1.1127700508817284e-05,-1.1127700508817284e-05
bitonic_sorter,0.3000000000000008,-0.24999999999999967,0.6245268020537966,0.16542994285714285,0.16542994285714285,0.210432,0.045002057142857155,0.045002057142857155
double_fpu,0.35000000000000087,-0.2999999999999997,0.6811158768205771,0.2697752834501902,0.2697752834501902,0.2697752793429101,-4.107280071607988e-09,-4.107280071607988e-09
e203,0.35000000000000087,-0.2999999999999997,0.6750941426994301,0.0,0.34204329538205447,0.33601435467552604,-0.0060289407065284295,0.33601435467552604
jpeg_encoder,0.35000000000000087,-0.2999999999999997,0.6253445767675747,0.8217228832596994,0.8217228832596994,0.8832595799259352,0.061536696666235735,0.061536696666235735
reed_solomon,0.3000000000000008,-0.44999999999999984,0.6640008449705684,0.48633510950219405,0.48633510950219405,0.4237711231591235,-0.06256398634307053,-0.06256398634307053
sha512,0.35000000000000087,-0.2999999999999997,0.6170104687338487,0.9753238604803697,0.9753238604803697,0.974934768296921,-0.00038909218344862495,-0.00038909218344862495
systolic_tpu,0.35000000000000087,-0.2999999999999997,0.6224657976626098,0.9101946472278073,0.9101946472278073,0.9149261500805492,0.004731502852741931,0.004731502852741931
uberddr3,0.35000000000000087,-0.2999999999999997,0.6862187918931578,0.01992576508041522,0.01992576508041522,0.21364321354452068,0.19371744846410546,0.19371744846410546
verilog_axi,0.2500000000000008,-0.2999999999999997,0.6914228167628292,0.00011776818576086357,0.00011776818576086357,0.050119752579472536,0.050001984393711674,0.050001984393711674
viterbi,0.35000000000000087,-0.2999999999999997,0.633787990380825,0.7883523685725131,0.7883523685725131,0.7903820301801824,0.002029661607669264,0.002029661607669264
wb_dma,0.35000000000000087,-0.2999999999999997,0.6149725564205755,6.297969714734684e-05,0.9665753291105258,0.9973518037429265,0.03077647463240074,0.9972888240457792
