port_class,n_designs,global_median_ns,ci_lo_ns,ci_hi_ns
input_only,10,0.22601974999999996,0.1844545,0.28139800000000004
output_only,12,-0.322695,-0.33106525,-0.30920075
both,5,-0.025986000000000002,-0.08181700000000001,0.11346199999999995
internal,11,-0.04998,-0.10093299999999994,-0.02226699999999998
