# start	end	slack_synth_ns	slack_route_ns
init_reg	core.f_reg[I]	1.115700	0.877600
init_reg	core.HI_reg[J]	1.116100	0.805526
core.shaI_ctrl_reg[J]	core.HI_reg[J]	1.123000	0.808185
core.shaI_ctrl_reg[J]	core.c_reg[I]	1.126300	0.872586
core.shaI_ctrl_reg[J]	core.d_reg[I]	1.126300	0.885671
core.shaI_ctrl_reg[J]	core.f_reg[I]	1.126400	0.859865
init_reg	core.b_reg[I]	1.127500	0.860694
next_reg	core.b_reg[I]	1.128200	0.914827
next_reg	core.d_reg[I]	1.128200	0.925965
next_reg	core.c_reg[I]	1.129200	0.926282
init_reg	core.a_reg[I]	1.129800	0.842947
init_reg	core.e_reg[I]	1.129800	0.865776
init_reg	core.w_mem_inst.w_mem[I][J]	1.129800	0.887282
core.shaI_ctrl_reg[J]	core.b_reg[I]	1.130000	0.873520
next_reg	core.a_reg[I]	1.130500	0.913363
next_reg	core.e_reg[I]	1.130500	0.909186
next_reg	core.f_reg[I]	1.130500	0.892011
next_reg	core.w_mem_inst.w_mem[I][J]	1.130500	0.901692
core.shaI_ctrl_reg[J]	core.a_reg[I]	1.132400	0.845606
core.shaI_ctrl_reg[J]	core.e_reg[I]	1.132400	0.884084
core.shaI_ctrl_reg[J]	core.w_mem_inst.w_mem[I][J]	1.132400	0.899162
init_reg	core.h_reg[I]	1.137500	0.818886
next_reg	core.round_ctr_reg[I]	1.142700	1.001770
next_reg	core.w_mem_inst.w_ctr_reg[I]	1.142700	1.004959
work_factor_reg	core.b_reg[I]	1.142800	0.841904
work_factor_reg	core.d_reg[I]	1.142800	0.853042
work_factor_reg	core.c_reg[I]	1.143800	0.853359
init_reg	core.g_reg[I]	1.144600	0.825075
work_factor_reg	core.a_reg[I]	1.145100	0.840440
work_factor_reg	core.e_reg[I]	1.145100	0.870665
work_factor_reg	core.f_reg[I]	1.145100	0.819088
work_factor_reg	core.w_mem_inst.w_mem[I][J]	1.145100	0.828769
init_reg	core.round_ctr_reg[I]	1.145700	0.996641
init_reg	core.w_mem_inst.w_ctr_reg[I]	1.145700	0.999831
core.shaI_ctrl_reg[J]	core.h_reg[I]	1.148200	0.821545
next_reg	core.g_reg[I]	1.149900	0.890672
next_reg	core.h_reg[I]	1.149900	0.890753
core.shaI_ctrl_reg[J]	core.g_reg[I]	1.152000	0.827734
mode_reg[I]	core.c_reg[I]	1.161400	0.993989
mode_reg[I]	core.d_reg[I]	1.161400	1.033894
mode_reg[I]	core.f_reg[I]	1.161600	1.031788
mode_reg[I]	core.HI_reg[J]	1.162000	0.972343
core.shaI_ctrl_reg[J]	core.round_ctr_reg[I]	1.163800	1.015092
work_factor_reg	core.g_reg[I]	1.164700	0.817749
work_factor_reg	core.h_reg[I]	1.164800	0.817830
core.shaI_ctrl_reg[J]	core.w_mem_inst.w_ctr_reg[I]	1.166600	1.018281
work_factor_reg	core.HI_reg[J]	1.169700	0.941672
work_factor_reg	core.round_ctr_reg[I]	1.176600	0.955618
mode_reg[I]	core.a_reg[I]	1.177100	1.038228
