# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
13	18	5	-0.2455	-0.0500	-0.2955	-0.2105	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_id_reg[1][5]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
14	29	15	-0.2443	-0.0500	-0.2943	-0.1601	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.s_axi_aready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.s_axi_aready_reg$_SDFF_PP0_/QN	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
15	23	8	-0.2435	-0.0500	-0.2935	-0.1736	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.s_axi_aready_reg	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.s_axi_aready_reg$_SDFF_PP0_/QN	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
16	5	-11	-0.2373	-0.0500	-0.2873	-0.3220	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
17	104	87	-0.2327	-0.0500	-0.2827	-0.0533	internal	D	N	Y	Y	N	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_select_reg[0]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
18	10	-8	0.0404	-0.3230	-0.2826	-0.2619	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].reg_inst.genblkJ.s_axi_wready_reg	sI_axi_wready	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[3].reg_inst.genblk2.s_axi_wready_reg$_SDFF_PP0_/Q	s04_axi_wready
19	11	-8	0.0422	-0.3230	-0.2808	-0.2538	output_only		N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].w_select_valid_reg	sI_axi_wready	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[3].w_select_valid_reg$_SDFF_PP0_/Q	s04_axi_wready
20	33	13	-0.2297	-0.0500	-0.2797	-0.1532	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.state_reg[0]$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
21	28	7	-0.2283	-0.0500	-0.2783	-0.1611	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_id_reg[1][3]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
22	32	10	-0.2268	-0.0500	-0.2768	-0.1532	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.state_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.state_reg[0]$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
