# v2 corrected-synth union dump
# design	verilog_axi
# n_union	151  n_kept	151  n_dropped	0
# betas	input=+0.226 output=-0.323 internal=-0.050 both=-0.047 (derived)
rank_synth_corr	rank_route	rank_delta	slack_synth_ns	beta_ns	slack_synth_corr_ns	slack_route_ns	port_cat	end_pin	async_endpoint	kept	in_synth_topk	in_route_topk	start	end	start_full	end_full
49	52	3	-0.1614	-0.0500	-0.2114	-0.1206	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.m_axi_rready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].reg_inst.genblk2.m_axi_rready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[5].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
50	80	30	-0.1574	-0.0500	-0.2074	-0.0754	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.m_select_reg[0]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[1].a_arb_inst.mask_reg[5]$_SDFFE_PP0P_/D
51	59	8	-0.4327	0.2260	-0.2067	-0.1064	input_only	D	N	Y	Y	Y	mI_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	m04_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
52	39	-13	-0.1561	-0.0500	-0.2061	-0.1415	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[5].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
53	19	-34	-0.1560	-0.0470	-0.2030	-0.2070	both		N	Y	Y	Y	mI_axi_rid[J]	mI_axi_rready	m02_axi_rid[9]	m02_axi_rready
54	73	19	-0.1514	-0.0500	-0.2014	-0.0825	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].addr_inst.m_select_reg[2]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[1]$_SDFFE_PP0P_/D
55	53	-2	-0.4273	0.2260	-0.2013	-0.1206	input_only	D	N	Y	Y	Y	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	m04_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
56	103	47	-0.1478	-0.0500	-0.1978	-0.0563	internal	D	N	Y	Y	N	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[1]$_SDFFE_PP0P_/D
57	90	33	-0.4214	0.2260	-0.1954	-0.0711	input_only	D	N	Y	Y	Y	mI_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	m04_axi_rlast	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
58	58	0	-0.4199	0.2260	-0.1939	-0.1068	input_only	D	N	Y	Y	Y	sI_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	s07_axi_awvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
59	66	7	-0.4159	0.2260	-0.1899	-0.0940	input_only	D	N	Y	Y	Y	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	m04_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
60	85	25	-0.4104	0.2260	-0.1844	-0.0731	input_only	D	N	Y	Y	Y	mI_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	m04_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[3].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
61	67	6	-0.1313	-0.0500	-0.1813	-0.0930	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].reg_inst.genblkJ.genblkK.m_axi_bready_reg	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].reg_inst.genblk3.genblk1.m_axi_bready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[2]$_SDFFE_PP0P_/D
62	60	-2	-0.1250	-0.0500	-0.1750	-0.1020	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[1].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
63	20	-43	-0.1268	-0.0470	-0.1738	-0.1957	both		N	Y	Y	Y	mI_axi_bid[J]	mI_axi_bready	m07_axi_bid[8]	m07_axi_bready
64	76	12	-0.3985	0.2260	-0.1725	-0.0804	input_only	D	N	Y	Y	Y	mI_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.trans_count_reg[J]	m04_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[3].addr_inst.trans_count_reg[4]$_SDFFE_PP0P_/D
65	50	-15	-0.1186	-0.0500	-0.1686	-0.1222	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[5].b_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].a_arb_inst.mask_reg[4]$_SDFFE_PP0P_/D
66	75	9	-0.1124	-0.0500	-0.1624	-0.0824	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].b_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[2]$_SDFFE_PP0P_/D
67	70	3	-0.1071	-0.0500	-0.1571	-0.0873	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.m_axi_rready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].reg_inst.genblk2.m_axi_rready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[0][4]$_SDFFE_PP0P_/D
68	61	-7	-0.1042	-0.0500	-0.1542	-0.1002	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].w_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].w_select_reg[1]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
69	96	27	-0.0934	-0.0500	-0.1434	-0.0672	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].decerr_m_axi_bid_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].decerr_m_axi_bid_reg[0]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
70	95	25	-0.0866	-0.0500	-0.1366	-0.0679	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.thread_count_reg[0][4]$_SDFFE_PP0P_/D
71	87	16	-0.0663	-0.0500	-0.1163	-0.0723	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].decerr_m_axi_rid_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_count_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[0].decerr_m_axi_rid_reg[0]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[0].addr_inst.thread_count_reg[1][4]$_SDFFE_PP0P_/D
72	57	-15	-0.0573	-0.0500	-0.1073	-0.1089	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.m_axi_rready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[3].reg_inst.genblk2.m_axi_rready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[1].trans_count_reg[2]$_SDFFE_PP0P_/D
73	55	-18	-0.0520	-0.0500	-0.1020	-0.1168	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[7].trans_count_reg[2]$_SDFFE_PP0P_/D
74	121	47	-0.3114	0.2260	-0.0854	0.0184	input_only	D	N	Y	Y	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	m05_axi_rid[8]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[5].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
75	94	19	-0.3075	0.2260	-0.0815	-0.0680	input_only	D	N	Y	Y	Y	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s06_axi_araddr[30]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].addr_inst.thread_id_reg[0][0]$_DFFE_PP_/D
76	97	21	-0.3075	0.2260	-0.0815	-0.0660	input_only	D	N	Y	Y	Y	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s06_axi_araddr[30]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].addr_inst.thread_m_reg[0][0]$_DFFE_PP_/D
77	69	-8	-0.0209	-0.0500	-0.0709	-0.0903	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_valid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].r_arb_inst.grant_valid_reg$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[1].trans_count_reg[2]$_SDFFE_PP0P_/D
78	111	33	-0.2966	0.2260	-0.0706	0.0041	input_only	D	N	Y	Y	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	s00_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_id_reg[1][0]$_DFFE_PP_/D
79	110	31	-0.2966	0.2260	-0.0706	0.0039	input_only	D	N	Y	Y	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	s00_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.thread_m_reg[1][0]$_DFFE_PP_/D
80	129	49	-0.2948	0.2260	-0.0688	0.0521	input_only	D	N	Y	Y	N	mI_axi_rid[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.mask_reg[J]	m02_axi_rid[9]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
81	107	26	-0.2915	0.2260	-0.0655	-0.0145	input_only	D	N	Y	Y	N	mI_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.mask_reg[J]	m02_axi_rvalid	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[6].r_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
82	108	26	-0.2907	0.2260	-0.0647	-0.0106	input_only	D	N	Y	Y	N	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	s05_axi_araddr[28]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.state_reg[0]$_SDFF_PP0_/D
83	64	-19	-0.0144	-0.0500	-0.0644	-0.0963	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[2].trans_count_reg[2]$_SDFFE_PP0P_/D
84	133	49	-0.2891	0.2260	-0.0631	0.0611	input_only	D	N	Y	Y	N	mI_axi_bid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.mask_reg[J]	m04_axi_bid[10]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].b_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
85	74	-11	-0.0094	-0.0500	-0.0594	-0.0825	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_select_reg[1]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[7].trans_count_reg[2]$_SDFFE_PP0P_/D
86	124	38	-0.2850	0.2260	-0.0590	0.0228	input_only	D	N	Y	Y	N	mI_axi_bid[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	m02_axi_bid[9]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].a_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
87	136	49	-0.2812	0.2260	-0.0552	0.0760	input_only	D	N	Y	Y	N	sI_axi_wlast	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	s03_axi_wlast	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[1]$_SDFFE_PP0P_/D
88	128	40	-0.2718	0.2260	-0.0458	0.0515	input_only	D	N	Y	Y	N	sI_axi_wvalid	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.mask_reg[J]	s03_axi_wvalid	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[4].a_arb_inst.mask_reg[1]$_SDFFE_PP0P_/D
89	102	13	-0.2694	0.2260	-0.0434	-0.0585	input_only	D	N	Y	Y	N	mI_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.mask_reg[J]	m07_axi_bvalid	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[6].b_arb_inst.mask_reg[0]$_SDFFE_PP0P_/D
90	109	19	-0.2683	0.2260	-0.0423	0.0015	input_only	D	N	Y	Y	N	sI_axi_araddr[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	s05_axi_araddr[28]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/D
91	42	-49	0.0154	-0.0500	-0.0346	-0.1379	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.thread_m_reg[0][1]$_DFFE_PP_/D
92	47	-45	0.0154	-0.0500	-0.0346	-0.1263	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.thread_id_reg[0][3]$_DFFE_PP_/D
93	84	-9	0.0243	-0.0500	-0.0257	-0.0740	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].trans_count_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[5].b_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[2].trans_count_reg[2]$_SDFFE_PP0P_/D
94	68	-26	0.0268	-0.0500	-0.0232	-0.0930	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].b_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].b_arb_inst.grant_encoded_reg[3]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[0].a_arb_inst.grant_reg[2]$_SDFFE_PP0P_/D
95	92	-3	0.0348	-0.0500	-0.0152	-0.0686	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_select_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].addr_inst.m_select_reg[0]$_DFF_P_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[6].a_arb_inst.grant_reg[7]$_SDFFE_PP0P_/D
96	48	-48	0.0362	-0.0500	-0.0138	-0.1262	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[3].r_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[4].a_arb_inst.grant_reg[5]$_SDFFE_PP0P_/D
97	88	-9	0.0371	-0.0500	-0.0129	-0.0712	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].reg_inst.genblkJ.genblkK.m_axi_bready_reg	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[0].reg_inst.genblk3.genblk1.m_axi_bready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_wr_inst.m_ifaces[0].a_arb_inst.grant_reg[2]$_SDFFE_PP0P_/D
98	63	-35	0.0379	-0.0500	-0.0121	-0.0987	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.m_axi_rready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[5].reg_inst.genblk2.m_axi_rready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[4].a_arb_inst.grant_reg[5]$_SDFFE_PP0P_/D
99	78	-21	0.0382	-0.0500	-0.0118	-0.0781	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_id_reg[1][0]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_id_reg[1][5]$_DFFE_PP_/D
100	89	-11	0.0382	-0.0500	-0.0118	-0.0712	internal	D	N	Y	Y	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_id_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.thread_m_reg[J][K]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_id_reg[1][0]$_DFFE_PP_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[4].addr_inst.thread_m_reg[1][0]$_DFFE_PP_/D
101	144	43	-0.2357	0.2260	-0.0097	0.0969	input_only	D	N	Y	N	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_decerr_reg	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_decerr_reg$_SDFFCE_PN1P_/D
102	93	-9	0.0444	-0.0500	-0.0056	-0.0682	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].addr_inst.state_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[2].addr_inst.state_reg[0]$_SDFF_PP0_/D
103	99	-4	0.0475	-0.0500	-0.0025	-0.0622	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].reg_inst.genblkJ.m_axi_rready_reg	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[I].a_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[7].reg_inst.genblk2.m_axi_rready_reg$_SDFF_PP0_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.m_ifaces[3].a_arb_inst.grant_encoded_reg[1]$_SDFFE_PP0P_/D
104	51	-53	0.0494	-0.0500	-0.0006	-0.1213	internal	D	N	Y	N	Y	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.grant_encoded_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[I].r_arb_inst.mask_reg[J]	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.grant_encoded_reg[2]$_SDFFE_PP0P_/Q	axi_crossbar_inst.axi_crossbar_rd_inst.s_ifaces[1].r_arb_inst.mask_reg[8]$_SDFFE_PP0P_/D
105	123	18	-0.2246	0.2260	0.0014	0.0215	input_only	D	N	Y	N	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_axi_avalid_reg	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_axi_avalid_reg$_SDFF_PP0_/D
106	131	25	-0.2242	0.2260	0.0018	0.0577	input_only	D	N	Y	N	N	sI_axi_awaddr[J]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[I].addr_inst.m_rc_valid_reg	s07_axi_awaddr[31]	axi_crossbar_inst.axi_crossbar_wr_inst.s_ifaces[7].addr_inst.m_rc_valid_reg$_SDFF_PP0_/D
