design,synth_fmax_mhz_mean,synth_fmax_mhz_cv,pnr_fmax_mhz_mean,pnr_fmax_mhz_cv,n
abdelazeem201/systolic_tpu,643.7993254907508,0.012741309807269816,725.8496104755354,0.014718131010609243,8
angelo-jacobo/uberddr3,945.2845617623491,0.038093018735529394,980.9865926114815,0.012286920509411275,8
coole198669/viterbi,201.1816878662225,0.059026226421377545,348.9290367451213,0.02095273247959781,8
forencich/verilog_axi,758.1423525224851,0.020504336591728706,966.4654012370333,0.007141702517031932,8
mcjtag/bitonic_sorter,1795.3321364452427,0.0,1783.962976531923,2.4005224109350352e-05,8
opencores/double_fpu,663.1791231286018,0.016514933418138325,716.4124779249729,0.011790379204539665,8
opencores/jpeg_encoder,536.6356872369669,0.018202204486769607,851.1812045379803,0.022075411144523535,8
opencores/reed_solomon,824.3994000021215,0.030424325741540862,904.5715822728682,0.03697578140330904,8
opencores/wb_dma,115.9823706796567,0.0,636.1835931617434,0.01993387436708555,8
riscv-mcu/e203,190.5487804878049,0.0,284.84777891041796,0.024851363334575598,8
secworks/aes,804.1849593861717,0.021596085074889446,807.8825924532858,0.016099243678091308,8
secworks/sha512,388.7255980424454,0.018192501838854336,414.39029381821985,0.017676484850502192,8
ahmedshahein/fir,208.14517217394916,0.3200802843832366,547.3658325382083,0.006980397756428558,8
opencores/wb_conmax,287.43891922966367,0.0,674.210046506242,0.021773009188726333,8
secworks/modexp,989.4119527192187,0.03405140668045134,1069.5234795571182,0.02037585468193997,8
zipcpu/cordic,857.3551885302701,0.03670627370474292,1183.870257889873,0.014017794583984243,8
