design,synth_mean_mhz,predict_mean_mhz,pnr_mean_mhz,rewriter_baseline_mhz,s_d_mhz,delta_pred_minus_syn_mhz,delta_pred_minus_syn_std,h_d_oracle_minus_syn_std,synth_vs_baseline_mhz,synth_vs_baseline_std,predict_vs_baseline_mhz,predict_vs_baseline_std,pnr_vs_baseline_mhz,pnr_vs_baseline_std
aes,983.4054106756458,984.0253999543656,973.2729514794236,807.8825924532858,20.706842606174597,0.6199892787197996,0.02994127547649028,-0.4893290294871349,175.52281822236,8.476561181279306,176.1428075010798,8.506502456755797,165.39035902613773,7.987232151792171
bitonic_sorter,1750.3349978214674,1778.035983146223,1786.2310168298684,1783.962976531923,33.147735033152046,27.70098532475572,0.8356825978321334,1.0829101587936654,-33.627978710455636,-1.014487978645397,-5.926993385699916,-0.17880538081326378,2.26804029794539,0.0684221801482682
cordic,1222.4755225301788,1212.2710929108812,1219.5285546513428,1183.870257889873,8.397429773195135,-10.20442961929757,-1.2151848714317846,-0.35093688883743507,38.60526464030568,4.597271508424509,28.400835021008106,3.3820866369927236,35.65829676146973,4.246334619587073
double_fpu,883.1907319972264,845.758031239347,935.6567561903051,716.4124779249729,35.53573000947125,-37.43270075787939,-1.053382067792122,1.4764301782767681,166.7782540722535,4.693255324367967,129.34555331437411,3.639873256575845,219.24427826533224,6.169685502644735
e203,282.4422013480894,299.62266486795176,392.2700826591518,284.84777891041796,5.89533855533443,17.18046351986237,2.9142454430062434,18.629613936537037,-2.405577562328574,-0.40804739876251445,14.774885957533797,2.5061980442437286,107.42230374873384,18.22156653777452
fir,545.5148623769365,553.1806294607976,588.5849828427478,547.3658325382083,22.487739792327268,7.665767083861056,0.34088650769947926,1.915271203934269,-1.850970161271789,-0.08231019116929364,5.814796922589267,0.25857631653018565,41.219150304539426,1.8329610127649754
jpeg_encoder,982.3838028220017,960.1236495925996,909.1859603504003,851.1812045379803,62.82892124182796,-22.260153229402135,-0.35429787412269903,-1.1650342075723952,131.2025982840214,2.0882516473428496,108.94244505461927,1.7339537732201507,58.004755812419944,0.9232174397704546
modexp,1079.9352247812324,1054.8714258762657,1107.6711767344746,1069.5234795571182,34.32291006187361,-25.06379890496669,-0.7302352527738586,0.8080885887368768,10.411745224114156,0.3033468084537411,-14.652053680852532,-0.4268884443201175,38.14769717735635,1.111435397190618
reed_solomon,1301.2477098534798,1304.9984448390203,1278.5220694004793,904.5715822728682,37.04310351132836,3.7507349855404755,0.10125325985155217,-0.6134918054598394,396.6761275806116,10.708501447760764,400.42686256615207,10.809754707612315,373.95048712761104,10.095009642300925
sha512,536.2633048051281,538.4841763473959,547.2935512948145,414.39029381821985,4.589886469793045,2.220871542267787,0.4838619771717196,2.4031632508295493,121.87301098690824,26.552511001955875,124.09388252917603,27.036372979127595,132.90325747659466,28.955674252785425
systolic_tpu,1132.7339772523108,1052.4875369092388,1058.209904611901,725.8496104755354,30.95474082920662,-80.24644034307198,-2.592379654729893,-2.4075172540321925,406.8843667767753,13.14449276192515,326.63792643370334,10.552113107195256,332.3602941363656,10.736975507892957
uberddr3,984.9969164026124,1040.7840092373815,1023.5341200216579,980.9865926114815,51.47942058857852,55.787092834769055,1.0836775588563299,0.7485943543738244,4.010323791130986,0.0779014943307411,59.79741662590004,1.1615790531870709,42.547527410176485,0.8264958487045655
verilog_axi,1007.1992620946675,1012.7452814105742,996.4347564414524,966.4654012370333,12.62611428264668,5.546019315906733,0.43924989048524427,-0.8525588642904838,40.73386085763411,3.2261596834759123,46.279880173540846,3.6654095739611567,29.969355204419003,2.3736008191854285
viterbi,597.7597804033404,522.5105744528336,375.3143727014341,348.9290367451213,94.31656576441688,-75.24920595050685,-0.7978365766461819,-2.358497745322159,248.8307436582191,2.638250678886532,173.58153770771224,1.8404141022403502,26.38533595631276,0.27975293356437325
wb_conmax,759.5736530846583,839.2412994187958,828.4070726082231,674.210046506242,12.532329345446325,79.66764633413754,6.356970371440576,5.492468129923164,85.36360657841635,6.811471692565563,165.0312529125539,13.168442064006138,154.19702610198112,12.303939822488728
wb_dma,722.8572048352906,782.5028751152626,845.6445079617431,636.1835931617434,118.01994428424443,59.64567027997191,0.5053863619552188,1.0403945186647954,86.67361167354727,0.7343980053472888,146.31928195351918,1.2397843673025075,209.46091479999973,1.7747925240120843
