category,n,gm_synth_uplift_pct,gm_pnr_uplift_pct,mean_synth_minus_pnr_pct,n_round1,n_round2,n_round3,n_round4
Pipeline insertion,76,11.517669840040412,7.0604949539613715,4.577491098318951,17,21,20,18
Combinational restructuring,21,3.7720472757331924,3.9215136026894637,-0.5824982617606511,7,6,2,6
Parallelisation,8,1.817094090704563,6.553943584514843,-4.979405104829901,3,0,3,2
Logic simplification,5,-0.10436919609981832,0.7228472553820309,-0.8119318041624624,2,1,2,0
Fanout reduction,3,-0.45478883515137625,-1.0683449805995782,0.5947053624408801,1,0,1,1
Mixed,3,-10.844294804918174,4.803251875409242,-12.962165674756749,0,0,1,2
Other,6,2.9568003140433508,-7.075329597524438,8.820891705014178,1,1,2,2
None,6,0.0,0.0,0.0,1,2,1,2
