test,n_designs,mean_delta_mhz,median_delta_mhz,mean_delta_std,wilcoxon_w,wilcoxon_p,t_stat,t_p,sign_pos,sign_neg,sign_p,bs_mean_delta_std,ci_std_95_lo,ci_std_95_hi,ci_std_90_lo,ci_std_90_hi,bs_mean_delta_mhz,ci_mhz_95_lo,ci_mhz_95_hi
predict_vs_synth,16,0.5830319809167399,2.985803263904131,0.39673993414240294,77.0,0.668548583984375,0.7956706826445233,0.43863424048369504,10,6,0.454498291015625,0.40606134032459185,-0.5128713978898787,1.483765378367464,-0.37417915995509,1.2957300300317875,0.8278998313284903,-25.943074312746017,27.16830263619171
oracle_vs_synth,16,5.840454605947084,19.383099221464306,1.5849730328167695,89.0,0.2978515625,1.2829320322092939,0.21898540056038038,9,7,0.803619384765625,1.5566284882967079,-0.25970539483300237,4.208622152196272,-0.09460668466151534,3.738891783301337,5.6700287952008,-36.243991589527106,41.55923532151656
synth_vs_baseline,16,117.2301128695151,86.01860912598181,5.159220479221187,124.0,0.00213623046875,2.915419575355633,0.010656088880816957,13,3,0.021270751953125,5.130656238529248,2.1952287596703903,8.810767104197213,nan,nan,117.12406567115788,57.60896818549433,184.34601828180993
predict_vs_baseline,16,117.81314485043184,116.51816379189765,5.55596041336359,132.0,0.000213623046875,3.1119659292166757,0.0071405198320039515,14,2,0.004180908203125,5.550227000918857,2.5769072296304882,9.269330573531295,nan,nan,117.90850633370812,64.63376017021369,177.68436707011867
pnr_vs_baseline,16,123.07056747546218,82.71352978057689,6.744193512037957,136.0,3.0517578125e-05,3.3966366839111872,0.003985191087514859,16,0,3.0517578125e-05,6.734967332852616,3.3629364914617756,10.797903153487233,nan,nan,123.23892680145977,73.68035004729764,179.8510907015826
