iter_id,design,port_class,n,median_delta_ns
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_3,double_fpu,internal,784,-0.028469000000000022
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_3,double_fpu,output_only,1,-0.331094
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_4,double_fpu,input_only,209,0.15777100000000005
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_4,double_fpu,internal,790,-0.035106499999999985
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_1__iter_4,double_fpu,output_only,1,-0.335485
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_1,double_fpu,input_only,173,0.191732
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_1,double_fpu,internal,741,-0.03083200000000008
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_1,double_fpu,output_only,1,-0.343492
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_2,double_fpu,input_only,186,0.208652
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_2,double_fpu,internal,763,-0.031613
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_2,double_fpu,output_only,1,-0.326905
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_3,double_fpu,input_only,188,0.159111
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_3,double_fpu,internal,783,-0.03238200000000002
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_3,double_fpu,output_only,1,-0.319098
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_4,double_fpu,input_only,187,0.23704800000000004
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_4,double_fpu,internal,789,-0.034633000000000025
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_2__iter_4,double_fpu,output_only,1,-0.344144
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_1,double_fpu,input_only,167,0.198507
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_1,double_fpu,internal,727,-0.030689000000000022
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_1,double_fpu,output_only,1,-0.342477
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_2,double_fpu,input_only,178,0.195262
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_2,double_fpu,internal,737,-0.029491000000000045
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_2,double_fpu,output_only,1,-0.334391
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_3,double_fpu,input_only,170,0.1496125
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_3,double_fpu,internal,743,-0.025322999999999984
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_3,double_fpu,output_only,1,-0.317041
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_4,double_fpu,input_only,167,0.227958
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_4,double_fpu,internal,766,-0.02985350000000002
2026-06-05_11-31-11__opencores__double_fpu__reference_epoch_3__iter_4,double_fpu,output_only,1,-0.332801
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_1,aes,both,3,-0.048591
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_1,aes,input_only,24,0.14430649999999998
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_1,aes,internal,110,-0.035453999999999986
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_1,aes,output_only,7,-0.247321
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_2,aes,input_only,27,0.16172200000000003
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_2,aes,internal,117,-0.03335499999999997
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_2,aes,output_only,1,-0.270083
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_3,aes,input_only,27,0.14038300000000004
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_3,aes,internal,112,-0.025304500000000008
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_3,aes,output_only,1,-0.317152
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_4,aes,input_only,27,0.15422200000000003
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_4,aes,internal,117,-0.029204
2026-06-05_11-31-11__secworks__aes__reference_epoch_1__iter_4,aes,output_only,1,-0.291918
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_1,aes,both,3,-0.048591
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_1,aes,input_only,24,0.14430649999999998
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_1,aes,internal,110,-0.035453999999999986
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_1,aes,output_only,7,-0.247321
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_2,aes,both,3,-0.036919999999999994
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_2,aes,input_only,24,0.14948249999999996
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_2,aes,internal,110,-0.022741999999999984
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_2,aes,output_only,7,-0.299939
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_3,aes,input_only,27,0.11483700000000002
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_3,aes,internal,117,-0.03709399999999999
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_3,aes,output_only,1,-0.269009
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_4,aes,input_only,27,0.12865000000000004
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_4,aes,internal,112,-0.025453500000000004
2026-06-05_11-31-11__secworks__aes__reference_epoch_2__iter_4,aes,output_only,1,-0.280188
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_1,aes,both,3,-0.11957899999999999
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_1,aes,input_only,24,0.1436845
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_1,aes,internal,110,-0.02880849999999996
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_1,aes,output_only,7,-0.26496400000000003
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_2,aes,input_only,27,0.15222600000000003
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_2,aes,internal,117,-0.024336000000000024
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_2,aes,output_only,1,-0.29493
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_3,aes,input_only,27,0.14132499999999998
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_3,aes,internal,117,-0.02656399999999992
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_3,aes,output_only,1,-0.294248
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_4,aes,input_only,27,0.18105699999999997
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_4,aes,internal,113,-0.024734000000000034
2026-06-05_11-31-11__secworks__aes__reference_epoch_3__iter_4,aes,output_only,1,-0.292228
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_1,sha512,both,6,-0.08728350000000001
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_1,sha512,input_only,24,0.22030800000000006
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_1,sha512,internal,167,-0.23200300000000007
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_1,sha512,output_only,9,-0.33736800000000006
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_2,sha512,both,6,-0.078316
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_2,sha512,input_only,24,0.18848200000000004
2026-06-05_11-31-11__secworks__sha512__reference_epoch_1__iter_2,sha512,internal,167,-0.15781299999999998
