held_out,beta_input_ns,beta_output_ns,beta_internal_ns,beta_both_derived_ns,rbo_internal_raw,rbo_internal_corr,rbo_external_raw,rbo_external_corr,gain_internal,gain_external
aes,0.23883300000000002,-0.32892099999999996,-0.030723999999999974,-0.05936399999999997,0.7508719592398294,0.7480605043628376,0.7508686555408153,0.7480578391198226,-0.002811454876991859,-0.002810816420992679
bitonic_sorter,0.23883300000000002,-0.32576499999999997,-0.030723999999999974,-0.05620799999999998,0.6478059857142857,0.9416530000000001,0.6478059857142857,0.9416530000000001,0.29384701428571436,0.29384701428571436
double_fpu,0.23883300000000002,-0.32576499999999997,-0.03276699999999999,-0.05416499999999996,0.6843100250770957,0.685299850570432,0.6847474904804546,0.6858909284190596,0.0009898254933362605,0.001143437938605052
e203,0.2261575,-0.32892099999999996,-0.03276699999999999,-0.06999649999999996,0.4356906955466082,0.4679562886766827,0.4356906955466082,0.4679562886766827,0.03226559313007449,0.03226559313007449
jpeg_encoder,0.2261575,-0.32576499999999997,-0.03276699999999999,-0.06684049999999997,0.43087501877986606,0.7919914274321467,0.4347476320313145,0.7944864833863181,0.3611164086522806,0.3597388513550036
reed_solomon,0.2261575,-0.32892099999999996,-0.03276699999999999,-0.06999649999999996,0.48917843274668615,0.7462827509740327,0.48917843274668615,0.7303163395974456,0.2571043182273466,0.24113790685075942
sha512,0.23883300000000002,-0.32576499999999997,-0.030723999999999974,-0.05620799999999998,0.9468678088957179,0.9645044470785659,0.9468675137690635,0.9645041519519114,0.017636638182847997,0.017636638182847886
systolic_tpu,0.23883300000000002,-0.32892099999999996,-0.030723999999999974,-0.05936399999999997,0.7597211689303462,0.8516442534993729,0.7597211689303462,0.8516442534993729,0.09192308456902665,0.09192308456902665
uberddr3,0.2261575,-0.32892099999999996,-0.03276699999999999,-0.06999649999999996,0.1655688048658256,0.58569137514221,0.16550921352277737,0.585631783799162,0.42012257027638444,0.42012257027638467
verilog_axi,0.2261575,-0.32576499999999997,-0.030723999999999974,-0.06888349999999999,0.045797712278899796,0.3079719824916293,0.045797712278899796,0.3079719824916293,0.26217427021272954,0.26217427021272954
viterbi,0.23883300000000002,-0.32892099999999996,-0.03276699999999999,-0.057320999999999955,0.6775531149863144,0.7158116582839859,0.6773699596118821,0.7156791128655301,0.03825854329767142,0.03830915325364803
wb_dma,0.2261575,-0.32576499999999997,-0.030723999999999974,-0.06888349999999999,0.8275771519653661,0.9219664138967559,0.8275758529911266,0.9219651149225169,0.09438926193138986,0.0943892619313903
