# slack_ns	startpoint	endpoint	cells
0.533228	rst	rle.rle.rlen[3]$_DFFE_PN0P_/RN	rle.rle.rlen[3]$_DFFE_PN0P_
0.533228	rst	rle.rle.size[0]$_DFFE_PN0P_/RN	rle.rle.size[0]$_DFFE_PN0P_
0.533228	rst	rle.rle.size[1]$_DFFE_PN0P_/RN	rle.rle.size[1]$_DFFE_PN0P_
0.533228	rst	rle.rle.size[2]$_DFFE_PN0P_/RN	rle.rle.size[2]$_DFFE_PN0P_
0.533228	rst	rle.rle.size[3]$_DFFE_PN0P_/RN	rle.rle.size[3]$_DFFE_PN0P_
0.533228	rst	rle.rle.state$_DFFE_PN0P_/RN	rle.rle.state$_DFFE_PN0P_
0.533228	rst	rle.rz1.den$_DFFE_PN0P_/RN	rle.rz1.den$_DFFE_PN0P_
0.533228	rst	rle.rz1.deno$_DFFE_PN0P_/RN	rle.rz1.deno$_DFFE_PN0P_
0.533228	rst	rle.rz1.state$_DFFE_PN0P_/RN	rle.rz1.state$_DFFE_PN0P_
0.533228	rst	rle.rz2.den$_DFFE_PN0P_/RN	rle.rz2.den$_DFFE_PN0P_
0.533228	rst	rle.rz2.deno$_DFFE_PN0P_/RN	rle.rz2.deno$_DFFE_PN0P_
0.533228	rst	rle.rz2.state$_DFFE_PN0P_/RN	rle.rz2.state$_DFFE_PN0P_
0.533228	rst	rle.rz3.den$_DFFE_PN0P_/RN	rle.rz3.den$_DFFE_PN0P_
0.533228	rst	rle.rz3.deno$_DFFE_PN0P_/RN	rle.rz3.deno$_DFFE_PN0P_
0.533228	rst	rle.rz3.state$_DFFE_PN0P_/RN	rle.rz3.state$_DFFE_PN0P_
0.533228	rst	rle.rz4.den$_DFFE_PN0P_/RN	rle.rz4.den$_DFFE_PN0P_
0.533228	rst	rle.rz4.deno$_DFFE_PN0P_/RN	rle.rz4.deno$_DFFE_PN0P_
0.533228	rst	rle.rz4.state$_DFFE_PN0P_/RN	rle.rz4.state$_DFFE_PN0P_
-1.080011	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.079643	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.077478	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.077166	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.077110	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.076798	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.074336	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
-1.074104	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/Q	fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_/D	_48081_|_48084_|_48816_|_48858_|_68127_|_68128_|_68129_|_68131_|_68132_|_68133_|_68134_|_75346_|_75347_|_75352_|_77982_|_78036_|_78124_|_78175_|_82577_|fdct_zigzag.dct_mod.dct_block_6.dct_unit_6.macu.mult_res[18]$_DFFE_PP_|fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_
