# slack_ns	startpoint	endpoint	cells
0.559749	rst	fdct_zigzag.dct_mod.dgo$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.dgo$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242
0.559766	rst	fdct_zigzag.dct_mod.go$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.go$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242
0.559853	rst	qnr.qnt_cnt[0]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.qnt_cnt[0]$_DFFE_PN0P_
0.563266	rst	fdct_zigzag.dct_mod.sample_cnt[5]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[5]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.563731	rst	fdct_zigzag.dct_mod.sample_cnt[3]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[3]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.567418	rst	fdct_zigzag.dct_mod.ddin[3]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[3]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.567524	rst	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[4]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.567765	rst	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.ddin[8]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.568436	rst	fdct_zigzag.dct_mod.sample_cnt[2]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[2]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.568826	rst	fdct_zigzag.dct_mod.sample_cnt[4]$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.sample_cnt[4]$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11240
0.569433	rst	qnr.dep[9]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[9]$_DFFE_PN0P_
0.569477	rst	qnr.dep[8]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[8]$_DFFE_PN0P_
0.569902	rst	fdct_zigzag.dct_mod.douten$_DFFE_PN0P_/RN	fdct_zigzag.dct_mod.douten$_DFFE_PN0P_|hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242
0.569986	rst	qnr.dep[7]$_DFFE_PN0P_/RN	hold11892|hold11893|hold11894|hold11895|hold11896|input20|place11242|qnr.dep[7]$_DFFE_PN0P_
