# start	end	slack_synth_ns	slack_route_ns
RsDecodeEuclide.omegaInner_I[J]	RsDecodeEuclide.lambdaInner_I[J]	0.139100	0.058181
enable	RsDecodeEuclide.offset[I]	0.140000	0.418487
RsDecodeEuclide.omegaInner_I[J]	RsDecodeEuclide.lambdaBkp_I[J]	0.140300	0.052266
RsDecodeEuclide.count[I]	RsDecodeEuclide.omegaBkp_I[J]	0.142500	0.088469
startPls	RsDecodeSyndrome.done	0.142700	0.436137
numShiftedReg[I]	omegaShiftedReg_I[J]	0.143100	0.076701
degreeEpsilonReg[I]	RsDecodeEuclide.lambdaInner_I[J]	0.145700	0.089678
degreeEpsilonReg[I]	RsDecodeEuclide.lambdaBkp_I[J]	0.146900	0.083763
RsDecodeEuclide.count[I]	RsDecodeEuclide.numShiftedReg[I]	0.150000	0.090846
RsDecodeEuclide.omegaInner_I[J]	RsDecodeEuclide.numShiftedReg[I]	0.150500	0.089377
RsDecodeEuclide.lambdaInner_I[J]	RsDecodeEuclide.lambdaInner_I[J]	0.152300	0.137736
