# start	end	slack_synth_ns	slack_route_ns
core.w_mem_inst.w_mem[I][J]	core.a_reg[I]	-0.469500	-0.287173
core.w_mem_inst.w_mem[I][J]	core.e_reg[I]	-0.307900	-0.252690
address[I]	read_data[I]	-0.238000	-0.249780
core.e_reg[I]	core.e_reg[I]	-0.162400	-0.170237
core.f_reg[I]	core.e_reg[I]	-0.119700	-0.101803
core.g_reg[I]	core.e_reg[I]	-0.112700	-0.096394
address[I]	error	-0.110400	-0.119760
core.w_mem_inst.w_ctr_reg[I]	core.a_reg[I]	-0.082700	-0.065909
core.e_reg[I]	core.a_reg[I]	-0.048100	-0.120859
core.h_reg[I]	core.e_reg[I]	-0.019700	-0.010663
core.f_reg[I]	core.a_reg[I]	-0.005300	-0.052092
core.g_reg[I]	core.a_reg[I]	0.001600	-0.046683
core.round_ctr_reg[I]	core.e_reg[I]	0.040300	0.037498
core.round_ctr_reg[I]	core.a_reg[I]	0.042100	0.048969
core.w_mem_inst.w_ctr_reg[I]	core.e_reg[I]	0.047900	-0.010765
core.h_reg[I]	core.a_reg[I]	0.080500	0.038757
we	read_data[I]	0.090800	0.016230
cs	read_data[I]	0.111500	0.029438
we	error	0.212200	0.105535
cs	error	0.256100	0.118660
address[I]	block_reg[I][J]	0.299400	0.319781
core.a_reg[I]	core.a_reg[I]	0.307100	0.159820
address[I]	work_factor_num_reg[I]	0.334000	0.627821
core.b_reg[I]	core.a_reg[I]	0.373200	0.310901
core.c_reg[I]	core.a_reg[I]	0.377100	0.305286
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_mem[I][J]	0.457800	0.409182
address[I]	work_factor_reg	0.466600	0.691765
address[I]	mode_reg[I]	0.466900	0.683977
address[I]	init_reg	0.495700	0.718907
address[I]	next_reg	0.495700	0.713483
digest_reg[I]	read_data[I]	0.571000	0.184774
block_reg[I][J]	read_data[I]	0.586900	0.235775
we	block_reg[I][J]	0.602300	0.661373
cs	block_reg[I][J]	0.602400	0.649448
we	work_factor_num_reg[I]	0.645000	0.877985
cs	work_factor_num_reg[I]	0.665900	0.870039
core.d_reg[I]	core.e_reg[I]	0.676000	0.673854
init_reg	read_data[I]	0.743200	0.423440
work_factor_num_reg[I]	read_data[I]	0.759500	0.389097
ready_reg	read_data[I]	0.780900	0.466705
mode_reg[I]	read_data[I]	0.781900	0.470163
next_reg	read_data[I]	0.788200	0.468111
digest_valid_reg	read_data[I]	0.793600	0.474325
work_factor_reg	read_data[I]	0.799600	0.487719
we	work_factor_reg	0.801600	0.994752
we	mode_reg[I]	0.801900	0.986964
cs	work_factor_reg	0.803300	0.985577
write_data[I]	block_reg[I][J]	0.803600	0.916298
write_data[I]	work_factor_num_reg[I]	0.803600	0.915930
cs	mode_reg[I]	0.803700	0.977789
core.e_reg[I]	core.HI_reg[J]	0.808400	0.524632
core.HI_reg[J]	core.HI_reg[J]	0.810500	0.505780
core.g_reg[I]	core.HI_reg[J]	0.818800	0.592016
core.b_reg[I]	core.HI_reg[J]	0.828500	0.540360
core.f_reg[I]	core.HI_reg[J]	0.829100	0.585316
core.a_reg[I]	core.HI_reg[J]	0.829400	0.591235
core.d_reg[I]	core.HI_reg[J]	0.830600	0.497989
we	init_reg	0.830700	1.021894
we	next_reg	0.830700	1.016470
