# start	end	slack_synth_ns	slack_route_ns
address[I]	read_data[I]	-0.350400	-0.261724
core_inst.montprod_select_reg[I]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.277000	-0.212669
address[I]	core_inst.exponent_mem.mem[I][J]	-0.234300	0.132655
core_inst.one_reg[I]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.232000	-0.207510
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.228300	-0.212524
core_inst.montprod_select_reg[I]	core_inst.montprod_inst.add_carry_in_sa	-0.228300	-0.162776
core_inst.loop_counter_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.215900	-0.129569
address[I]	core_inst.modulus_mem.mem[I][J]	-0.214100	0.075335
core_inst.message_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.203500	-0.180068
core_inst.residue_inst.residue_ctrl_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.196800	-0.186384
core_inst.residue_inst.loop_counter_I_to_nn_reg[J]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.196000	-0.197143
core_inst.residue_inst.loop_counter_I_to_nn_reg[J]	core_inst.residue_mem.tmp_read_dataI[J]	-0.187000	-0.185787
core_inst.one_reg[I]	core_inst.montprod_inst.add_carry_in_sa	-0.183400	-0.157616
core_inst.residue_inst.nn_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.180600	-0.192766
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.179600	-0.162630
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.178800	-0.149250
core_inst.cycle_ctr_high_reg[I]	core_inst.cycle_ctr_high_reg[I]	-0.177200	-0.114102
core_inst.montprod_inst.add_carry_in_sm	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.176800	-0.112239
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.175800	-0.150906
core_inst.montprod_inst.s_mem.tmp_read_data[I]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.172800	-0.126993
start_reg	core_inst.modulus_mem.tmp_read_dataI[J]	-0.171600	-0.167575
core_inst.cycle_ctr_low_reg[I]	core_inst.cycle_ctr_high_reg[I]	-0.171300	-0.071370
core_inst.residue_inst.nn_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.164800	-0.190128
core_inst.modexp_ctrl_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.164200	-0.155877
core_inst.residue_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.160200	-0.116589
core_inst.message_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.154800	-0.130175
core_inst.residue_inst.word_index_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.153900	-0.139984
core_inst.residue_valid_reg	core_inst.modulus_mem.tmp_read_dataI[J]	-0.149600	-0.138371
core_inst.residue_inst.sub_carry_in_reg	core_inst.residue_mem.mem[I][J]	-0.149300	-0.107185
address[I]	core_inst.exponent_mem.ptr_reg[I]	-0.142500	0.203886
core_inst.result_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.141400	-0.129514
address[I]	core_inst.message_mem.mem[I][J]	-0.139300	0.033782
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.residue_inst.sub_carry_in_reg	-0.135400	-0.132127
address[I]	modulus_length_reg[I]	-0.133700	0.170918
address[I]	core_inst.result_mem.ptr_reg[I]	-0.126200	0.128417
address[I]	core_inst.message_mem.ptr_reg[I]	-0.120600	0.154961
core_inst.residue_mem.tmp_read_dataI[J]	core_inst.residue_inst.sub_carry_in_reg	-0.116700	-0.099466
core_inst.residue_inst.residue_ctrl_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.115700	-0.191039
core_inst.montprod_inst.add_carry_in_sa	core_inst.montprod_inst.s_mem_data_pipe[I]	-0.112500	-0.094043
core_inst.montprod_inst.add_carry_in_sm	core_inst.montprod_inst.add_carry_in_sm	-0.112100	-0.064994
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sm	-0.111100	-0.103661
modulus_length_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.110300	-0.150408
