# start	end	slack_synth_ns	slack_route_ns
core.e_reg[I]	core.a_reg[I]	-0.317500	-0.172376
core.f_reg[I]	core.a_reg[I]	-0.275100	-0.161178
core.g_reg[I]	core.a_reg[I]	-0.268100	-0.164773
address[I]	read_data[I]	-0.226700	-0.216628
core.e_reg[I]	core.e_reg[I]	-0.218200	-0.126703
core.f_reg[I]	core.e_reg[I]	-0.175800	-0.116579
core.w_mem_inst.w_next_reg[I]	core.a_reg[I]	-0.170500	-0.142383
core.g_reg[I]	core.e_reg[I]	-0.168800	-0.111568
core.w_mem_inst.w_next_reg[I]	core.e_reg[I]	-0.071200	-0.089178
core.k_reg[I]	core.a_reg[I]	-0.069900	-0.004140
address[I]	error	-0.069400	0.011854
core.k_reg[I]	core.e_reg[I]	0.029400	0.049065
core.h_reg[I]	core.a_reg[I]	0.048000	0.138374
we	read_data[I]	0.073000	0.036307
cs	read_data[I]	0.093600	0.058887
core.h_reg[I]	core.e_reg[I]	0.147300	0.191579
we	error	0.212300	0.102622
cs	error	0.256000	0.148866
address[I]	block_reg[I][J]	0.362000	0.471310
address[I]	work_factor_num_reg[I]	0.412200	0.732453
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_next_reg[I]	0.463800	0.140497
core.w_mem_inst.w_mem[I][J]	core.w_mem_inst.w_mem[I][J]	0.464700	0.179028
address[I]	work_factor_reg	0.521700	0.837504
address[I]	mode_reg[I]	0.522000	0.813378
address[I]	init_reg	0.551000	0.838051
address[I]	next_reg	0.551000	0.838675
digest_reg[I]	read_data[I]	0.553300	0.196095
block_reg[I][J]	read_data[I]	0.570300	0.158924
core.a_reg[I]	core.a_reg[I]	0.574000	0.531659
cs	block_reg[I][J]	0.628700	0.749708
we	block_reg[I][J]	0.628700	0.739512
core.c_reg[I]	core.a_reg[I]	0.644000	0.622866
we	work_factor_num_reg[I]	0.645000	0.906776
core.b_reg[I]	core.a_reg[I]	0.646400	0.627665
cs	work_factor_num_reg[I]	0.665800	0.925433
work_factor_num_reg[I]	read_data[I]	0.763000	0.365536
init_reg	read_data[I]	0.770400	0.421162
next_reg	read_data[I]	0.771800	0.418490
ready_reg	read_data[I]	0.780100	0.423841
digest_valid_reg	read_data[I]	0.796800	0.424333
core.h_reg[I]	core.HI_reg[J]	0.797700	0.576272
we	work_factor_reg	0.801000	1.020744
we	mode_reg[I]	0.801300	0.996618
core.HI_reg[J]	core.HI_reg[J]	0.801600	0.563998
core.d_reg[I]	core.e_reg[I]	0.802200	0.734444
cs	work_factor_reg	0.802600	1.032941
cs	mode_reg[I]	0.803000	1.008815
write_data[I]	block_reg[I][J]	0.803600	0.959860
write_data[I]	work_factor_num_reg[I]	0.803600	0.975304
mode_reg[I]	read_data[I]	0.813800	0.475110
core.d_reg[I]	core.HI_reg[J]	0.826300	0.624733
we	init_reg	0.830300	1.021291
we	next_reg	0.830300	1.021915
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_mem[I][J]	0.831700	0.532444
cs	init_reg	0.832000	1.033488
cs	next_reg	0.832000	1.034112
work_factor_reg	read_data[I]	0.832000	0.474753
write_data[I]	init_reg	0.840000	0.961081
write_data[I]	next_reg	0.840000	0.973597
core.f_reg[I]	core.HI_reg[J]	0.846200	0.538599
core.work_factor_ctr_reg[I]	core.k_reg[I]	0.847800	0.580651
core.g_reg[I]	core.HI_reg[J]	0.849500	0.584336
core.work_factor_ctr_reg[I]	core.round_ctr_reg[I]	0.850500	0.738918
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.851200	0.732526
core.w_mem_inst.w_ctr_reg[I]	core.w_mem_inst.w_next_reg[I]	0.855800	0.605813
write_data[I]	work_factor_reg	0.862100	1.013779
write_data[I]	mode_reg[I]	0.862400	1.089522
core.work_factor_ctr_reg[I]	core.w_mem_inst.w_next_reg[I]	0.865800	0.549522
core.work_factor_ctr_reg[I]	core.a_reg[I]	0.866800	0.499741
core.b_reg[I]	core.HI_reg[J]	0.872200	0.577625
core.e_reg[I]	core.HI_reg[J]	0.873700	0.526080
core.c_reg[I]	core.HI_reg[J]	0.875800	0.647254
core.work_factor_ctr_reg[I]	core.e_reg[I]	0.879700	0.464861
work_factor_num_reg[I]	core.w_mem_inst.w_mem[I][J]	0.882000	0.553851
core.work_factor_ctr_reg[I]	core.f_reg[I]	0.884800	0.471083
core.work_factor_ctr_reg[I]	core.b_reg[I]	0.884800	0.516797
core.work_factor_ctr_reg[I]	core.d_reg[I]	0.885000	0.461551
core.work_factor_ctr_reg[I]	core.h_reg[I]	0.885700	0.457700
core.work_factor_ctr_reg[I]	core.g_reg[I]	0.886000	0.493317
core.work_factor_ctr_reg[I]	core.c_reg[I]	0.886400	0.508448
work_factor_num_reg[I]	core.a_reg[I]	0.888200	0.521148
core.a_reg[I]	core.HI_reg[J]	0.888400	0.601852
core.round_ctr_reg[I]	core.k_reg[I]	0.893000	0.676248
core.work_factor_ctr_reg[I]	core.HI_reg[J]	0.897700	0.487683
work_factor_num_reg[I]	core.w_mem_inst.w_ctr_reg[I]	0.897800	0.757007
work_factor_num_reg[I]	core.w_mem_inst.w_next_reg[I]	0.897800	0.570929
work_factor_num_reg[I]	core.k_reg[I]	0.898100	0.602058
work_factor_num_reg[I]	core.round_ctr_reg[I]	0.900700	0.763399
work_factor_num_reg[I]	core.e_reg[I]	0.901100	0.486268
work_factor_num_reg[I]	core.f_reg[I]	0.906200	0.492490
work_factor_num_reg[I]	core.b_reg[I]	0.906200	0.538204
work_factor_num_reg[I]	core.d_reg[I]	0.906500	0.482958
work_factor_num_reg[I]	core.h_reg[I]	0.907100	0.479107
work_factor_num_reg[I]	core.g_reg[I]	0.907500	0.514724
work_factor_num_reg[I]	core.c_reg[I]	0.907900	0.529855
core.work_factor_ctr_reg[I]	core.digest_valid_reg	0.912000	0.730516
core.work_factor_ctr_reg[I]	core.ready_reg	0.915500	0.721757
work_factor_num_reg[I]	core.HI_reg[J]	0.929100	0.509090
