# start	end	slack_synth_ns	slack_route_ns
core_inst.montprod_select_reg[I]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.401300	-0.320624
core_inst.message_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.352700	-0.318538
core_inst.one_reg[I]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.349200	-0.306919
address[I]	read_data[I]	-0.346900	-0.298714
core_inst.loop_counter_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.331700	-0.232937
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.327800	-0.286766
core_inst.montprod_select_reg[I]	core_inst.montprod_inst.add_carry_in_sa	-0.270600	-0.221734
core_inst.result_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.265800	-0.234065
address[I]	core_inst.modulus_mem.mem[I][J]	-0.256900	0.042680
core_inst.montprod_inst.add_carry_in_sa	core_inst.montprod_inst.s_mem.mem[I][J]	-0.236900	-0.203582
core_inst.montprod_inst.s_mem.tmp_read_data[I]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.232900	-0.204510
core_inst.message_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.221900	-0.219649
core_inst.one_reg[I]	core_inst.montprod_inst.add_carry_in_sa	-0.218400	-0.208030
core_inst.cycle_ctr_low_reg[I]	core_inst.cycle_ctr_high_reg[I]	-0.215000	-0.174678
address[I]	core_inst.exponent_mem.mem[I][J]	-0.206300	0.089746
core_inst.p_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.197100	-0.187877
core_inst.residue_inst.loop_counter_I_to_nn_reg[J]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.188600	-0.230813
core_inst.residue_inst.nn_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.185300	-0.234362
core_inst.residue_inst.loop_counter_I_to_nn_reg[J]	core_inst.residue_mem.tmp_read_dataI[J]	-0.165800	-0.220744
core_inst.residue_inst.nn_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.163100	-0.224292
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.154300	-0.194259
core_inst.montprod_inst.add_carry_in_sm	core_inst.montprod_inst.s_mem.mem[I][J]	-0.152700	-0.179871
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.montprod_inst.s_mem.mem[I][J]	-0.151700	-0.235637
core_inst.modexp_ctrl_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.138300	-0.095632
core_inst.residue_mem.tmp_read_dataI[J]	core_inst.residue_mem.mem[I][J]	-0.137800	-0.130364
core_inst.result_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sa	-0.135000	-0.135176
core_inst.residue_inst.residue_ctrl_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.134400	-0.157368
address[I]	core_inst.message_mem.mem[I][J]	-0.133800	0.057184
core_inst.cycle_ctr_high_reg[I]	core_inst.cycle_ctr_high_reg[I]	-0.132100	-0.142615
core_inst.residue_inst.sub_carry_in_reg	core_inst.residue_mem.mem[I][J]	-0.132000	-0.123065
start_reg	core_inst.modulus_mem.tmp_read_dataI[J]	-0.113700	-0.108360
core_inst.montprod_inst.add_carry_in_sa	core_inst.montprod_inst.add_carry_in_sa	-0.106100	-0.104693
core_inst.montprod_inst.s_mem.tmp_read_data[I]	core_inst.montprod_inst.add_carry_in_sa	-0.102100	-0.102597
core_inst.modexp_ctrl_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.101900	-0.091554
core_inst.residue_inst.residue_ctrl_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.100800	-0.139198
address[I]	exponent_length_reg[I]	-0.098300	0.280547
start_reg	core_inst.residue_mem.tmp_read_dataI[J]	-0.096500	-0.108639
core_inst.residue_valid_reg	core_inst.modulus_mem.tmp_read_dataI[J]	-0.091000	-0.080789
cs	core_inst.exponent_mem.mem[I][J]	-0.087600	0.171198
cs	core_inst.message_mem.mem[I][J]	-0.087500	0.149738
modulus_length_reg[I]	core_inst.exponent_mem.tmp_read_dataI[J]	-0.085100	-0.132983
core_inst.modexp_ctrl_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.081700	-0.091834
core_inst.montprod_select_reg[I]	core_inst.montprod_inst.q_reg	-0.079900	-0.125383
modulus_length_reg[I]	core_inst.message_mem.tmp_read_dataI[J]	-0.076700	-0.116187
modulus_length_reg[I]	core_inst.montprod_inst.s_mem.tmp_read_data[I]	-0.076700	-0.109196
modulus_length_reg[I]	core_inst.p_mem.tmp_read_dataI[J]	-0.076700	-0.116175
modulus_length_reg[I]	core_inst.result_mem.tmp_read_dataI[J]	-0.076700	-0.121103
cs	core_inst.modulus_mem.mem[I][J]	-0.075000	0.210892
address[I]	core_inst.modulus_mem.ptr_reg[I]	-0.071200	0.176971
core_inst.montprod_inst.word_index[I]	core_inst.message_mem.tmp_read_dataI[J]	-0.069000	-0.099116
core_inst.montprod_inst.word_index[I]	core_inst.p_mem.tmp_read_dataI[J]	-0.068900	-0.099103
modulus_length_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.065400	-0.133838
cs	read_data[I]	-0.065000	-0.153133
core_inst.residue_valid_reg	core_inst.residue_mem.tmp_read_dataI[J]	-0.061300	-0.080762
address[I]	core_inst.exponent_mem.ptr_reg[I]	-0.059800	0.175876
address[I]	modulus_length_reg[I]	-0.059000	0.267472
core_inst.residue_inst.word_index_reg[I]	core_inst.modulus_mem.tmp_read_dataI[J]	-0.057800	-0.103437
address[I]	core_inst.residue_valid_reg	-0.056200	0.201223
core_inst.montprod_inst.word_index[I]	core_inst.montprod_inst.s_mem.tmp_read_data[I]	-0.055400	-0.092125
core_inst.montprod_inst.word_index[I]	core_inst.result_mem.tmp_read_dataI[J]	-0.055400	-0.096241
core_inst.montprod_inst.add_carry_in_sm	core_inst.montprod_inst.add_carry_in_sm	-0.040600	-0.075718
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.montprod_inst.add_carry_in_sm	-0.039600	-0.131484
core_inst.montprod_inst.s_mem.tmp_read_data[I]	core_inst.montprod_inst.add_carry_in_sm	-0.036600	-0.100357
core_inst.montprod_inst.montprod_ctrl_reg[I]	core_inst.message_mem.tmp_read_dataI[J]	-0.035300	-0.078197
core_inst.montprod_inst.montprod_ctrl_reg[I]	core_inst.montprod_inst.s_mem.tmp_read_data[I]	-0.035300	-0.078247
core_inst.montprod_inst.montprod_ctrl_reg[I]	core_inst.p_mem.tmp_read_dataI[J]	-0.035300	-0.087548
core_inst.montprod_inst.montprod_ctrl_reg[I]	core_inst.result_mem.tmp_read_dataI[J]	-0.035300	-0.091318
we	core_inst.message_mem.mem[I][J]	-0.030800	0.167244
we	read_data[I]	-0.026300	-0.116873
we	core_inst.exponent_mem.mem[I][J]	-0.023600	0.191087
address[I]	core_inst.message_mem.ptr_reg[I]	-0.021900	0.227665
we	core_inst.modulus_mem.mem[I][J]	-0.018300	0.228398
address[I]	core_inst.result_mem.ptr_reg[I]	-0.015500	0.200894
core_inst.modulus_mem.tmp_read_dataI[J]	core_inst.residue_inst.sub_carry_in_reg	-0.013800	-0.125412
modulus_length_reg[I]	core_inst.montprod_inst.word_index[I]	-0.010000	-0.112382
core_inst.montprod_inst.B_bit_index_reg[I]	core_inst.montprod_inst.q_reg	-0.003800	0.012966
core_inst.residue_inst.word_index_reg[I]	core_inst.residue_mem.tmp_read_dataI[J]	-0.000700	-0.090695
core_inst.residue_mem.tmp_read_dataI[J]	core_inst.residue_inst.sub_carry_in_reg	0.002700	-0.065789
