# start	end	slack_synth_ns	slack_route_ns
core.dec_block.sword_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.173300	-0.183932
core.keymem.prev_keyI_reg[J]	core.keymem.key_mem[I][J]	-0.162000	-0.182000
encdec_reg	core.dec_block.block_wI_reg[J]	-0.160800	-0.185465
core.enc_block.sword_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.157800	-0.164180
core.enc_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.148900	-0.176277
core.dec_block.round_ctr_reg[I]	core.dec_block.block_wI_reg[J]	-0.138000	-0.175094
core.keymem.prev_keyI_reg[J]	core.keymem.prev_keyI_reg[J]	-0.121400	-0.167007
core.dec_block.block_wI_reg[J]	core.dec_block.block_wI_reg[J]	-0.106100	-0.115257
core.enc_block.block_wI_reg[J]	core.enc_block.block_wI_reg[J]	-0.093800	-0.061361
core.dec_block.dec_ctrl_reg[I]	core.dec_block.block_wI_reg[J]	-0.093000	-0.085053
core.enc_block.enc_ctrl_reg[I]	core.enc_block.block_wI_reg[J]	-0.075200	-0.068798
core.enc_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	-0.017100	-0.052441
address[I]	read_data_reg[I]	0.012000	0.240310
core.keymem.key_mem[I][J]	core.dec_block.block_wI_reg[J]	0.039600	-0.011594
encdec_reg	core.enc_block.block_wI_reg[J]	0.049700	-0.053774
core.dec_block.round_ctr_reg[I]	core.enc_block.block_wI_reg[J]	0.072600	-0.041649
core.keymem.round_ctr_reg[I]	core.keymem.key_mem[I][J]	0.082900	0.022162
core.keymem.round_ctr_reg[I]	core.keymem.prev_keyI_reg[J]	0.112200	0.061777
keylen_reg	core.enc_block.block_wI_reg[J]	0.112300	0.095866
address[I]	key_reg[I][J]	0.127200	0.272765
we	key_reg[I][J]	0.145600	0.267086
cs	key_reg[I][J]	0.146900	0.270571
address[I]	block_reg[I][J]	0.152200	0.325716
we	block_reg[I][J]	0.166800	0.310668
cs	block_reg[I][J]	0.168000	0.314153
core.keymem.rcon_reg[I]	core.keymem.key_mem[I][J]	0.183800	0.198226
address[I]	encdec_reg	0.184700	0.262630
address[I]	keylen_reg	0.184700	0.283537
keylen_reg	core.keymem.prev_keyI_reg[J]	0.216900	0.124959
core.keymem.round_ctr_reg[I]	core.keymem.rcon_reg[I]	0.223000	0.112238
core.enc_block.enc_ctrl_reg[I]	core.enc_block.enc_ctrl_reg[I]	0.226700	0.462181
keylen_reg	core.keymem.key_mem[I][J]	0.227500	0.109217
address[I]	init_reg	0.240400	0.355003
address[I]	next_reg	0.240400	0.355237
encdec_reg	core.aes_core_ctrl_reg[I]	0.269700	0.222673
core.keymem.rcon_reg[I]	core.keymem.prev_keyI_reg[J]	0.272700	0.220134
encdec_reg	result_reg[I]	0.287500	0.018103
encdec_reg	core.enc_block.enc_ctrl_reg[I]	0.291800	0.437103
core.keymem.key_mem[I][J]	core.enc_block.block_wI_reg[J]	0.298400	0.172693
we	encdec_reg	0.306100	0.371983
we	keylen_reg	0.306100	0.392890
cs	encdec_reg	0.307400	0.375469
cs	keylen_reg	0.307400	0.396376
encdec_reg	encdec_reg	0.316800	0.366383
core.keymem.key_mem_ctrl_reg[I]	core.keymem.key_mem[I][J]	0.316800	0.210840
encdec_reg	core.ready_reg	0.326300	0.282355
encdec_reg	core.enc_block.round_ctr_reg[I]	0.327200	0.307159
we	read_data_reg[I]	0.331900	0.493425
encdec_reg	core.enc_block.ready_reg	0.336700	0.327546
cs	read_data_reg[I]	0.344900	0.510580
keylen_reg	core.keymem.rcon_reg[I]	0.350400	0.286114
write_data[I]	block_reg[I][J]	0.352200	0.481481
write_data[I]	key_reg[I][J]	0.352200	0.478683
core.keymem.round_ctr_reg[I]	core.keymem.round_ctr_reg[I]	0.353400	0.461082
core.dec_block.sword_ctr_reg[I]	core.dec_block.round_ctr_reg[I]	0.353800	0.382025
core.keymem.key_mem_ctrl_reg[I]	core.keymem.prev_keyI_reg[J]	0.355600	0.231869
encdec_reg	core.result_valid_reg	0.357500	0.316170
we	init_reg	0.362200	0.464420
we	next_reg	0.362200	0.464654
keylen_reg	core.dec_block.round_ctr_reg[I]	0.362500	0.461268
keylen_reg	keylen_reg	0.362800	0.469387
cs	init_reg	0.363500	0.467906
cs	next_reg	0.363500	0.468140
write_data[I]	init_reg	0.381800	0.493377
write_data[I]	next_reg	0.381800	0.539050
core.enc_block.round_ctr_reg[I]	core.enc_block.enc_ctrl_reg[I]	0.385200	0.312898
core.keymem.key_mem_ctrl_reg[I]	core.keymem.round_ctr_reg[I]	0.392600	0.338629
keylen_reg	core.keymem.key_mem_ctrl_reg[I]	0.400500	0.332063
